PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME,Salary,PPG,RPG,APG,SPG,BPG,MPG,COMPOSITE_SCORE,VALUE_SCORE
1628960,2022-23,0,1610612749,MIL,27.0,72,70,1972,245,557,0.44,146,366,0.399,114,126,0.905,61,176,237,163,62,14,72,117,750,Grayson Allen,8925000.0,10.416666666666666,3.2916666666666665,2.263888888888889,0.8611111111111112,0.19444444444444445,27.38888888888889,19.87361111111111,2.226735138499844
203937,2023-24,0,1610612750,MIN,30.0,79,10,1782,199,433,0.46,11,48,0.229,97,137,0.708,60,213,273,331,71,47,91,128,506,Kyle Anderson,9219512.0,6.405063291139241,3.4556962025316458,4.189873417721519,0.8987341772151899,0.5949367088607594,22.556962025316455,19.82405063291139,2.1502277596592303
1628386,2023-24,0,1610612739,CLE,26.0,77,77,2442,519,819,0.634,0,6,0.0,233,314,0.742,243,568,811,210,53,81,121,147,1271,Jarrett Allen,20000000.0,16.506493506493506,10.532467532467532,2.727272727272727,0.6883116883116883,1.051948051948052,31.714285714285715,36.71688311688312,1.8358441558441558
1628384,2022-23,0,1610612761,TOR,25.0,67,67,2386,421,885,0.476,142,367,0.387,140,167,0.838,95,237,332,131,128,50,132,200,1124,OG Anunoby,17357143.0,16.776119402985074,4.955223880597015,1.955223880597015,1.9104477611940298,0.746268656716418,35.61194029850746,30.968656716417915,1.7842024298824934
203500,2022-23,0,1610612763,MEM,29.0,42,42,1133,157,263,0.597,0,1,0.0,47,129,0.364,214,271,485,97,36,46,79,98,361,Steven Adams,17926829.0,8.595238095238095,11.547619047619047,2.3095238095238093,0.8571428571428571,1.0952380952380953,26.976190476190474,29.82142857142857,1.663508285343078
1628386,2022-23,0,1610612739,CLE,25.0,68,68,2220,403,626,0.644,1,10,0.1,162,221,0.733,221,445,666,113,54,84,93,153,969,Jarrett Allen,20000000.0,14.25,9.794117647058824,1.661764705882353,0.7941176470588235,1.2352941176470589,32.64705882352941,32.55441176470588,1.627720588235294
1628384,2024-25,0,1610612752,NYK,27.0,74,74,2706,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,110,65,102,172,1332,OG Anunoby,19928571.0,18.0,4.837837837837838,2.2162162162162162,1.4864864864864864,0.8783783783783784,36.567567567567565,31.859459459459462,1.5986825879015338
1628386,2024-25,0,1610612739,CLE,27.0,82,82,2296,452,640,0.706,0,5,0.0,199,277,0.718,216,582,798,158,77,73,97,127,1103,Jarrett Allen,20000000.0,13.451219512195122,9.731707317073171,1.9268292682926829,0.9390243902439024,0.8902439024390244,28.0,31.678048780487806,1.5839024390243903
1628384,2023-24,0,0,TOT,26.0,50,50,1702,282,577,0.489,102,267,0.382,67,89,0.753,47,161,208,107,68,36,81,119,733,OG Anunoby,18642857.0,14.66,4.16,2.14,1.36,0.72,34.04,27.022000000000002,1.4494559498042603
203507,2022-23,0,1610612749,MIL,28.0,63,63,2024,707,1278,0.553,47,171,0.275,498,772,0.645,137,605,742,359,52,51,246,197,1959,Giannis Antetokounmpo,42492492.0,31.095238095238095,11.777777777777779,5.698412698412699,0.8253968253968254,0.8095238095238095,32.12698412698413,57.04603174603175,1.3424967343885539
1628389,2022-23,0,1610612748,MIA,25.0,75,75,2598,602,1114,0.54,1,12,0.083,324,402,0.806,184,504,688,240,88,61,187,208,1529,Bam Adebayo,30351780.0,20.386666666666667,9.173333333333334,3.2,1.1733333333333333,0.8133333333333334,34.64,40.16799999999999,1.3234149694021238
203507,2023-24,0,1610612749,MIL,29.0,73,73,2567,837,1369,0.611,34,124,0.274,514,782,0.657,196,645,841,476,87,79,250,210,2222,Giannis Antetokounmpo,45640084.0,30.438356164383563,11.520547945205479,6.52054794520548,1.1917808219178083,1.082191780821918,35.16438356164384,58.591780821917816,1.2837789873900718
1628389,2023-24,0,1610612748,MIA,26.0,71,71,2416,530,1017,0.521,15,42,0.357,292,387,0.755,159,578,737,278,81,66,162,159,1367,Bam Adebayo,32600060.0,19.253521126760564,10.380281690140846,3.915492957746479,1.1408450704225352,0.9295774647887324,34.028169014084504,41.72394366197183,1.279873216858246
203507,2024-25,0,1610612749,MIL,30.0,67,67,2289,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,58,78,206,155,2036,Giannis Antetokounmpo,48787676.0,30.388059701492537,11.91044776119403,6.462686567164179,0.8656716417910447,1.164179104477612,34.16417910447761,58.43432835820896,1.197727236653145
1628389,2024-25,0,1610612748,MIA,27.0,78,78,2674,540,1113,0.485,79,221,0.357,251,328,0.765,185,564,749,337,98,53,161,162,1410,Bam Adebayo,34848340.0,18.076923076923077,9.602564102564102,4.32051282051282,1.2564102564102564,0.6794871794871795,34.282051282051285,39.952564102564104,1.14646964826916
1629028,2022-23,0,1610612756,PHX,24.0,67,67,2035,522,887,0.589,7,24,0.292,152,200,0.76,172,495,667,115,37,53,120,190,1203,Deandre Ayton,30913750.0,17.955223880597014,9.955223880597014,1.7164179104477613,0.5522388059701493,0.7910447761194029,30.37313432835821,35.16268656716417,1.137444877026054
1629028,2023-24,0,1610612757,POR,25.0,55,55,1783,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,56,42,99,109,920,Deandre Ayton,32459438.0,16.727272727272727,11.072727272727272,1.6363636363636365,1.018181818181818,0.7636363636363637,32.41818181818182,36.03272727272727,1.1100847547861818
1629028,2024-25,0,1610612757,POR,26.0,40,40,1206,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,31,39,69,88,576,Deandre Ayton,34005126.0,14.4,10.15,1.6,0.775,0.975,30.15,32.48,0.9551501147209395
